"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060562","GO:0060562","epithelial tube morphogenesis","3/20","344/18860",0.00872093023255814,8.22383720930233,4.40562435761784,0.00544667688521931,0.0369760318123339,0.0195418207001197,"6928/5314/2253",3
"GO:0034620","GO:0034620","cellular response to unfolded protein","2/20","106/18860",0.0188679245283019,17.7924528301887,5.64877130975164,0.00556542430826113,0.0375179652668793,0.019828232353319,"7466/7369",2
"GO:0007631","GO:0007631","feeding behavior","2/20","107/18860",0.0186915887850467,17.6261682242991,5.61930443427625,0.00566783883725046,0.0379430322160378,0.0200528800967048,"3630/5972",2
"GO:0032496","GO:0032496","response to lipopolysaccharide","3/20","350/18860",0.00857142857142857,8.08285714285714,4.35785899681716,0.00571434133903383,0.0379905175919215,0.020077976102304,"6833/5972/7369",3
"GO:0010038","GO:0010038","response to metal ion","3/20","351/18860",0.00854700854700855,8.05982905982906,4.35000889443323,0.00575971258393597,0.038029883088454,0.020098780754326,"6833/359/3710",3
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","3/20","356/18860",0.00842696629213483,7.94662921348315,4.31122001035455,0.00598984623485585,0.0392803521795989,0.0207596532593643,"6928/6657/5460",3
"GO:1904659","GO:1904659","D-glucose transmembrane transport","2/20","112/18860",0.0178571428571429,16.8392857142857,5.47773490313928,0.00619288041769258,0.0403374102882138,0.0213183081234937,"6927/3630",2
"GO:1902476","GO:1902476","chloride transmembrane transport","2/20","113/18860",0.0176991150442478,16.6902654867257,5.45051454632017,0.00630047020734402,0.0407627736904674,0.0215431125422431,"6559/6557",2
"GO:0036503","GO:0036503","ERAD pathway","2/20","115/18860",0.0173913043478261,16.4,5.39710413259911,0.0065182172314582,0.0416129894776537,0.0219924513072553,"7466/7369",2
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","2/20","115/18860",0.0173913043478261,16.4,5.39710413259911,0.0065182172314582,0.0416129894776537,0.0219924513072553,"7466/3630",2
"GO:0060291","GO:0060291","long-term synaptic potentiation","2/20","116/18860",0.0172413793103448,16.2586206896552,5.37089933747631,0.00662837096967308,0.0420378264129266,0.0222169774883779,"3630/3710",2
"GO:0002237","GO:0002237","response to molecule of bacterial origin","3/20","375/18860",0.008,7.544,4.17045150933105,0.0069147238210019,0.0433111651905092,0.0228899366152069,"6833/5972/7369",3
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","2/20","119/18860",0.0168067226890756,15.8487394957983,5.29420272620915,0.0069639321623744,0.0433111651905092,0.0228899366152069,"3630/2253",2
"GO:0008645","GO:0008645","hexose transmembrane transport","2/20","119/18860",0.0168067226890756,15.8487394957983,5.29420272620915,0.0069639321623744,0.0433111651905092,0.0228899366152069,"6927/3630",2
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","2/20","120/18860",0.0166666666666667,15.7166666666667,5.26925433875312,0.00707748008713955,0.0437351974615547,0.0231140375315489,"5015/2253",2
"GO:0090277","GO:0090277","positive regulation of peptide hormone secretion","2/20","121/18860",0.0165289256198347,15.5867768595041,5.24460395137142,0.00719187221546542,0.0441590115650234,0.023338023146398,"3630/6833",2
"GO:0015749","GO:0015749","monosaccharide transmembrane transport","2/20","122/18860",0.0163934426229508,15.4590163934426,5.22024549202639,0.00730710681494646,0.0445826010734708,0.023561890062852,"6927/3630",2
"GO:0002793","GO:0002793","positive regulation of peptide secretion","2/20","124/18860",0.0161290322580645,15.2096774193548,5.17238092579275,0.00754009650978781,0.0454290814714715,0.0240092546759033,"3630/6833",2
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","2/20","124/18860",0.0161290322580645,15.2096774193548,5.17238092579275,0.00754009650978781,0.0454290814714715,0.0240092546759033,"7466/7369",2
"GO:0001824","GO:0001824","blastocyst development","2/20","128/18860",0.015625,14.734375,5.07990616570357,0.00801610959440759,0.0474081573558829,0.0250551956325042,"6928/5460",2
"GO:0051224","GO:0051224","negative regulation of protein transport","2/20","128/18860",0.015625,14.734375,5.07990616570357,0.00801610959440759,0.0474081573558829,0.0250551956325042,"3630/6833",2
"GO:0071774","GO:0071774","response to fibroblast growth factor","2/20","128/18860",0.015625,14.734375,5.07990616570357,0.00801610959440759,0.0474081573558829,0.0250551956325042,"5015/2253",2
"GO:0006821","GO:0006821","chloride transport","2/20","129/18860",0.0155038759689922,14.6201550387597,5.05743492438551,0.00813719318652134,0.0478308184866254,0.0252785719016452,"6559/6557",2
"GO:0007613","GO:0007613","memory","2/20","131/18860",0.0152671755725191,14.3969465648855,5.01323493033081,0.00838184475498523,0.0489702929927622,0.0258807838048667,"6833/3710",2
